PersonID,Role,Age,OwnMonthlyIncome,ParentMonthlyIncome,CumulativeFamilyIncome,FamilySize,IncomeBracket,Occupation,MaritalStatus,RecommendedPlan,PremiumType,PlanMonthlyPayment,AvgMaxCoverage
794,Adult,23,94877,0,234731,1,Medium,Technician,Married,Protability Insurance,Lite,10315,326569
795,Child,12,0,148817,148817,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
796,Young Adult,22,92044,0,186921,4,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
797,Child,3,0,40931,40931,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
798,Adult,64,52200,0,52200,1,Medium,Technician,Single,Parents Health Insurance,Lite,10404,573070
799,Adult,54,110601,0,125518,3,High,Professional,Married,Family Health Insurance,Premier,25574,499383
800,Adult,52,64266,0,113247,3,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
801,Adult,63,14734,0,125087,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
802,Adult,54,110601,0,202645,2,High,Blue-collar,Married,Family Health Insurance,Premier,25574,499383
803,Child,2,0,107665,107665,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
804,Young Adult,19,147069,0,161803,1,High,Executive,Married,Accidental Coverage,Premier,15431,470322
805,Teen,17,0,127037,127037,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
806,Teen,13,0,94515,94515,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
807,Teen,15,0,48981,48981,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
808,Adult,32,88061,0,88061,1,Medium,White-collar,Single,Protability Insurance,Lite,10315,326569
809,Adult,53,52200,0,96910,2,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
810,Child,10,0,128696,128696,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
811,Young Adult,19,49203,0,49203,1,Low,Factory Worker,Single,Protability Insurance,Basic,6790,326569
812,Child,7,0,38734,38734,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
813,Adult,57,110601,0,174204,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
814,Adult,40,110601,0,257670,1,High,Entrepreneur,Married,Accidental Coverage,Premier,15431,470322
815,Adult,53,40968,0,40968,1,Low,Service Worker,Single,Protability Insurance,Basic,6790,326569
816,Child,9,0,105712,105712,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
817,Adult,57,37229,0,181955,1,Low,Blue-collar,Married,Parents Health Insurance,Basic,4515,573070
818,Teen,18,0,55459,55459,3,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
819,Adult,43,107277,0,107277,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
820,Teen,15,0,52200,52200,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
821,Teen,17,0,139854,139854,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
822,Adult,60,110353,0,110353,1,High,Professional,Single,Parents Health Insurance,Premier,18790,573070
823,Teen,15,0,50305,50305,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
824,Adult,56,116867,0,165848,1,High,Professional,Married,Parents Health Insurance,Premier,18790,573070
825,Adult,51,92044,0,92044,1,Medium,Sales Associate,Single,Individual Health Insurance,Lite,13437,669409
826,Child,11,0,64718,64718,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
827,Adult,45,144726,0,144726,1,High,Executive,Single,Accidental Coverage,Premier,15431,470322
828,Adult,40,124740,0,241607,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
829,Child,11,0,70005,70005,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
830,Adult,27,94877,0,131648,1,Medium,Clerical,Married,Protability Insurance,Lite,10315,326569
831,Adult,59,63603,0,112806,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
832,Adult,48,116867,0,263936,2,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
833,Adult,39,94515,0,94515,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
834,Teen,13,0,110601,110601,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
835,Adult,39,37229,0,37229,1,Low,Blue-collar,Single,Accidental Coverage,Basic,8791,470322
836,Adult,25,40968,0,89949,1,Low,Blue-collar,Married,Individual Health Insurance,Basic,4712,669409
837,Adult,65,127037,0,254074,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
838,Child,4,0,107665,107665,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
839,Teen,16,0,94877,94877,6,Medium,Dependent,Single,Covid Coverage,Lite,5292,541031
840,Adult,27,144726,0,208992,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
841,Adult,48,55459,0,55459,1,Medium,Sales Associate,Single,Individual Health Insurance,Lite,13437,669409
842,Teen,16,0,139854,139854,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
843,Adult,27,124740,0,166051,3,High,Executive,Married,Family Health Insurance,Premier,25574,499383
844,Adult,58,89302,0,89302,1,Medium,Clerical,Single,Parents Health Insurance,Lite,10404,573070
845,Teen,13,0,107277,107277,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
846,Adult,62,88061,0,129372,1,Medium,Sales Associate,Married,Parents Health Insurance,Lite,10404,573070
847,Adult,46,124740,0,214042,2,High,Professional,Married,Family Health Insurance,Premier,25574,499383
848,Young Adult,21,124740,0,271809,4,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
849,Teen,17,0,124740,124740,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
850,Child,4,0,37748,37748,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
851,Teen,13,0,24174,24174,7,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
852,Adult,60,55459,0,55459,1,Medium,White-collar,Single,Parents Health Insurance,Lite,10404,573070
853,Adult,44,107277,0,201792,4,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
854,Adult,47,88061,0,88061,1,Medium,Technician,Single,Covid Coverage,Lite,5292,541031
855,Teen,13,0,40968,40968,7,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
856,Young Adult,22,92044,0,208911,2,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
857,Teen,15,0,107277,107277,6,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
858,Adult,51,103981,0,103981,1,High,Manager,Single,Accidental Coverage,Premier,15431,470322
859,Adult,51,52200,0,159477,4,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
860,Child,2,0,135386,135386,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
861,Adult,33,94515,0,143718,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
862,Adult,40,127037,0,237638,3,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
863,Adult,49,88061,0,138366,1,Medium,Technician,Married,Protability Insurance,Lite,10315,326569
864,Adult,27,55459,0,55459,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
865,Adult,50,36771,0,36771,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
866,Adult,33,144726,0,289452,4,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
867,Adult,55,88061,0,88061,1,Medium,Clerical,Single,Parents Health Insurance,Lite,10404,573070
868,Adult,64,41311,0,41311,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
869,Child,3,0,83435,83435,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
870,Young Adult,21,127037,0,219081,2,High,Manager,Married,Family Health Insurance,Premier,25574,499383
871,Adult,48,52200,0,93511,2,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
872,Child,8,0,24174,24174,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
873,Young Adult,19,64266,0,105234,2,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
874,Child,12,0,44481,44481,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
875,Child,4,0,85559,85559,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
876,Child,8,0,83435,83435,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
877,Adult,65,50305,0,50305,1,Medium,Technician,Single,Parents Health Insurance,Lite,10404,573070
878,Adult,42,144726,0,186037,1,High,Executive,Married,Individual Health Insurance,Premier,18299,669409
879,Child,5,0,38734,38734,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
880,Adult,39,52200,0,52200,1,Medium,Technician,Single,Accidental Coverage,Lite,14445,470322
881,Adult,38,107277,0,247131,1,High,Manager,Married,Accidental Coverage,Premier,15431,470322
882,Teen,18,0,63603,63603,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
883,Adult,30,127037,0,266891,3,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
884,Adult,41,110601,0,235341,4,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
885,Adult,61,89302,0,126531,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
886,Teen,14,0,147069,147069,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
887,Adult,58,124740,0,189006,1,High,Professional,Married,Parents Health Insurance,Premier,18790,573070
888,Adult,52,40968,0,40968,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
889,Adult,30,64266,0,211335,2,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
890,Adult,27,49203,0,49203,1,Low,Blue-collar,Single,Protability Insurance,Basic,6790,326569
891,Adult,44,22417,0,22417,1,Low,Blue-collar,Single,Accidental Coverage,Basic,8791,470322
892,Adult,53,92044,0,92044,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
893,Young Adult,19,127037,0,237390,4,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
894,Adult,65,94877,0,144080,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
895,Adult,44,110601,0,237638,4,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
896,Adult,64,52200,0,159477,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
897,Adult,52,144726,0,144726,1,High,Entrepreneur,Single,Protability Insurance,Premier,18613,326569
898,Teen,16,0,127037,127037,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
899,Adult,23,92044,0,231898,2,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
900,Adult,27,147069,0,251050,3,High,Professional,Married,Family Health Insurance,Premier,25574,499383
901,Teen,19,0,89302,89302,5,Medium,Dependent,Single,Protability Insurance,Lite,10315,326569
902,Adult,41,139854,0,250207,2,High,Professional,Married,Family Health Insurance,Premier,25574,499383
903,Adult,50,44710,0,44710,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
904,Child,12,0,26656,26656,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
905,Teen,18,0,110601,110601,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
906,Child,9,0,105712,105712,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
907,Teen,13,0,89302,89302,5,Medium,Dependent,Single,Accidental Coverage,Lite,14445,470322
908,Adult,26,103981,0,103981,1,High,Entrepreneur,Single,Protability Insurance,Premier,18613,326569
909,Child,9,0,28436,28436,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
910,Adult,37,92044,0,196025,4,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
911,Adult,36,52200,0,94312,1,Medium,Technician,Married,Protability Insurance,Lite,10315,326569
912,Adult,38,139854,0,243835,1,High,Professional,Married,Protability Insurance,Premier,18613,326569
913,Adult,64,41311,0,86021,1,Low,Factory Worker,Married,Parents Health Insurance,Basic,4515,573070
914,Adult,36,110601,0,159804,2,High,Executive,Married,Family Health Insurance,Premier,25574,499383
915,Child,10,0,126736,126736,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
916,Teen,13,0,42112,42112,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
917,Adult,63,14917,0,14917,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
918,Adult,25,110601,0,110601,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
919,Teen,17,0,92044,92044,4,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
920,Adult,27,116867,0,116867,1,High,Executive,Single,Individual Health Insurance,Premier,18299,669409
921,Child,5,0,61853,61853,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
922,Young Adult,20,147069,0,147069,1,High,Professional,Single,Individual Health Insurance,Premier,18299,669409
923,Young Adult,20,92044,0,92044,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
924,Adult,30,89302,0,138505,3,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
925,Adult,27,48981,0,101181,1,Low,Factory Worker,Married,Individual Health Insurance,Basic,4712,669409
926,Adult,27,94877,0,205230,2,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
927,Adult,35,147069,0,147069,1,High,Executive,Single,Accidental Coverage,Premier,15431,470322
928,Adult,38,116867,0,116867,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
929,Young Adult,19,94515,0,94515,1,Medium,Clerical,Single,Protability Insurance,Lite,10315,326569
930,Adult,23,48981,0,48981,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
931,Teen,19,0,94877,94877,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
932,Teen,13,0,88061,88061,6,Medium,Dependent,Single,Accidental Coverage,Lite,14445,470322
933,Adult,55,50305,0,50305,1,Medium,Sales Associate,Single,Parents Health Insurance,Lite,10404,573070
934,Adult,44,147069,0,239113,3,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
935,Child,4,0,67087,67087,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
936,Adult,28,89302,0,178604,4,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
937,Adult,46,64266,0,171543,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
938,Adult,58,92044,0,196025,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
939,Adult,45,144726,0,144726,1,High,Manager,Single,Protability Insurance,Premier,18613,326569
940,Adult,51,94877,0,234731,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
941,Adult,48,127037,0,127037,1,High,Manager,Single,Individual Health Insurance,Premier,18299,669409
942,Adult,24,110353,0,255079,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
943,Teen,17,0,50305,50305,7,Medium,Dependent,Single,Covid Coverage,Lite,5292,541031
944,Young Adult,20,44710,0,161577,1,Low,Blue-collar,Married,Individual Health Insurance,Basic,4712,669409
945,Adult,23,50305,0,113908,3,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
946,Adult,52,89302,0,126531,4,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
947,Adult,27,37229,0,129273,1,Low,Blue-collar,Married,Protability Insurance,Basic,6790,326569
948,Adult,35,103981,0,214582,4,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
949,Child,3,0,64718,64718,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
950,Adult,37,49203,0,49203,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
951,Adult,33,110601,0,110601,1,High,Professional,Single,Individual Health Insurance,Premier,18299,669409
952,Young Adult,22,17314,0,17314,1,Low,Blue-collar,Single,Protability Insurance,Basic,6790,326569
953,Child,5,0,95438,95438,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
954,Adult,53,55459,0,172326,4,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
955,Adult,52,49203,0,49203,1,Low,Service Worker,Single,Protability Insurance,Basic,6790,326569
956,Adult,35,49203,0,138505,1,Low,Blue-collar,Married,Accidental Coverage,Basic,8791,470322
957,Adult,63,124740,0,124740,1,High,Entrepreneur,Single,Parents Health Insurance,Premier,18790,573070
958,Adult,35,48981,0,48981,1,Low,Blue-collar,Single,Individual Health Insurance,Basic,4712,669409
959,Adult,39,49203,0,49203,1,Low,Service Worker,Single,Individual Health Insurance,Basic,4712,669409
960,Teen,14,0,110601,110601,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
961,Adult,49,103981,0,152962,3,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
962,Child,4,0,64718,64718,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
963,Child,2,0,83435,83435,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
964,Adult,32,63603,0,104914,2,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
965,Adult,35,44710,0,44710,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
966,Adult,45,103981,0,103981,1,High,Entrepreneur,Single,Protability Insurance,Premier,18613,326569
967,Adult,55,36771,0,36771,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
968,Young Adult,21,55459,0,180199,3,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
969,Adult,45,147069,0,235130,3,High,Manager,Married,Family Health Insurance,Premier,25574,499383
970,Child,11,0,148817,148817,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
971,Adult,54,55459,0,149974,2,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
972,Adult,43,50305,0,50305,1,Medium,Sales Associate,Single,Individual Health Insurance,Lite,13437,669409
973,Adult,57,107277,0,107277,1,High,Professional,Single,Parents Health Insurance,Premier,18790,573070
974,Adult,33,17314,0,81580,1,Low,Factory Worker,Married,Protability Insurance,Basic,6790,326569
975,Adult,23,42112,0,42112,1,Low,Factory Worker,Single,Protability Insurance,Basic,6790,326569
976,Child,5,0,107665,107665,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
977,Adult,51,89302,0,139607,4,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
978,Adult,37,127037,0,168005,1,High,Professional,Married,Individual Health Insurance,Premier,18299,669409
979,Child,11,0,61853,61853,3,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
980,Teen,15,0,89302,89302,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
981,Adult,49,89302,0,131414,1,Medium,Sales Associate,Married,Individual Health Insurance,Lite,13437,669409
982,Adult,59,107277,0,107277,1,High,Executive,Single,Parents Health Insurance,Premier,18790,573070
983,Adult,53,52200,0,199269,4,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
984,Adult,28,50305,0,91616,2,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
985,Child,11,0,148817,148817,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
986,Adult,27,41311,0,83423,1,Low,Blue-collar,Married,Accidental Coverage,Basic,8791,470322
987,Adult,51,40968,0,40968,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
988,Child,7,0,28436,28436,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
989,Adult,65,41311,0,41311,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
990,Adult,53,94515,0,149974,2,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
991,Teen,17,0,55459,55459,6,Medium,Dependent,Single,Individual Health Insurance,Lite,13437,669409
992,Adult,63,116867,0,227468,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
993,Adult,54,63603,0,203457,2,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
994,Adult,51,50305,0,102505,1,Medium,White-collar,Married,Individual Health Insurance,Lite,13437,669409
995,Teen,15,0,116867,116867,5,High,Dependent,Single,Accidental Coverage,Premier,15431,470322
996,Adult,27,89302,0,89302,1,Medium,Technician,Single,Protability Insurance,Lite,10315,326569
997,Child,5,0,81150,81150,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
998,Adult,40,17314,0,58282,1,Low,Blue-collar,Married,Protability Insurance,Basic,6790,326569
999,Adult,37,64266,0,119725,2,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
1000,Adult,30,124740,0,124740,1,High,Manager,Single,Individual Health Insurance,Premier,18299,669409
1001,Adult,56,110601,0,110601,1,High,Executive,Single,Parents Health Insurance,Premier,18790,573070
1002,Young Adult,19,50305,0,105764,2,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
1003,Adult,31,116867,0,167172,3,High,Blue-collar,Married,Family Health Insurance,Premier,25574,499383
1004,Teen,16,0,116867,116867,7,High,Dependent,Single,Protability Insurance,Premier,18613,326569
1005,Adult,33,64266,0,64266,1,Medium,Technician,Single,Protability Insurance,Lite,10315,326569
1006,Adult,41,63603,0,208329,3,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
1007,Adult,62,50305,0,50305,1,Medium,Sales Associate,Single,Parents Health Insurance,Lite,10404,573070
1008,Young Adult,22,92044,0,92044,1,Medium,Sales Associate,Single,Individual Health Insurance,Lite,13437,669409
1009,Young Adult,21,110353,0,110353,1,High,Manager,Single,Protability Insurance,Premier,18613,326569
1010,Adult,40,88061,0,88061,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
1011,Adult,41,144726,0,144726,1,High,Manager,Single,Individual Health Insurance,Premier,18299,669409
1012,Adult,59,127037,0,231018,1,High,Manager,Married,Parents Health Insurance,Premier,18790,573070
1013,Child,4,0,24174,24174,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1014,Adult,54,50305,0,91616,2,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
1015,Child,9,0,44481,44481,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1016,Adult,52,36771,0,78883,1,Low,Factory Worker,Married,Protability Insurance,Basic,6790,326569
1017,Adult,50,50305,0,197374,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
1018,Adult,63,124740,0,124740,1,High,Professional,Single,Parents Health Insurance,Premier,18790,573070
1019,Adult,63,110601,0,125335,1,High,Professional,Married,Parents Health Insurance,Premier,18790,573070
1020,Adult,41,63603,0,63603,1,Medium,Clerical,Single,Protability Insurance,Lite,10315,326569
1021,Adult,32,50305,0,50305,1,Medium,Clerical,Single,Protability Insurance,Lite,10315,326569
1022,Teen,15,0,147069,147069,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1023,Adult,47,139854,0,176625,4,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
1024,Child,6,0,149521,149521,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
1025,Adult,47,89302,0,89302,1,Medium,Technician,Single,Protability Insurance,Lite,10315,326569
1026,Adult,51,17314,0,121295,1,Low,Service Worker,Married,Protability Insurance,Basic,6790,326569
1027,Child,10,0,141451,141451,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1028,Child,9,0,149521,149521,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1029,Adult,45,88061,0,177363,4,Medium,Blue-collar,Married,Family Health Insurance,Lite,17575,499383
1030,Child,12,0,24174,24174,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1031,Child,2,0,126736,126736,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1032,Teen,16,0,94877,94877,4,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
1033,Young Adult,22,139854,0,279708,4,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
1034,Adult,65,94877,0,184179,1,Medium,Sales Associate,Married,Parents Health Insurance,Lite,10404,573070
1035,Adult,44,50305,0,50305,1,Medium,Sales Associate,Single,Protability Insurance,Lite,10315,326569
1036,Child,9,0,105712,105712,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1037,Adult,24,94877,0,234731,1,Medium,Clerical,Married,Protability Insurance,Lite,10315,326569
1038,Young Adult,21,139854,0,139854,1,High,Executive,Single,Protability Insurance,Premier,18613,326569
1039,Adult,33,116867,0,261593,3,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
1040,Child,10,0,126736,126736,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
1041,Adult,61,94877,0,94877,1,Medium,Sales Associate,Single,Parents Health Insurance,Lite,10404,573070
1042,Adult,60,144726,0,181955,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
1043,Adult,58,127037,0,243904,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
1044,Adult,28,94515,0,182576,2,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
1045,Adult,37,40968,0,40968,1,Low,Service Worker,Single,Individual Health Insurance,Basic,4712,669409
1046,Teen,15,0,116867,116867,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1047,Adult,33,110601,0,174204,2,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
1048,Adult,64,89302,0,138505,1,Medium,Technician,Married,Parents Health Insurance,Lite,10404,573070
1049,Adult,65,55459,0,104662,1,Medium,Clerical,Married,Parents Health Insurance,Lite,10404,573070
1050,Adult,43,17314,0,32048,1,Low,Blue-collar,Married,Protability Insurance,Basic,6790,326569
1051,Adult,53,94515,0,94515,1,Medium,Clerical,Single,Individual Health Insurance,Lite,13437,669409
1052,Child,12,0,27718,27718,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1053,Adult,24,94877,0,202154,2,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
1054,Teen,16,0,52200,52200,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
1055,Adult,28,110601,0,166060,4,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
1056,Teen,14,0,42112,42112,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1057,Adult,26,89302,0,216339,3,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
1058,Adult,55,88061,0,177363,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
1059,Teen,15,0,107277,107277,6,High,Dependent,Single,Individual Health Insurance,Premier,18299,669409
1060,Young Adult,19,92044,0,181346,4,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
1061,Adult,64,147069,0,161986,1,High,Professional,Married,Parents Health Insurance,Premier,18790,573070
1062,Adult,34,42112,0,42112,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
1063,Adult,61,50305,0,50305,1,Medium,Clerical,Single,Parents Health Insurance,Lite,10404,573070
1064,Child,9,0,148817,148817,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
1065,Adult,38,42112,0,130173,1,Low,Service Worker,Married,Individual Health Insurance,Basic,4712,669409
1066,Child,11,0,27718,27718,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1067,Adult,46,144726,0,159460,1,High,Entrepreneur,Married,Accidental Coverage,Premier,15431,470322
1068,Child,7,0,81150,81150,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
1069,Adult,35,52200,0,104400,2,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
1070,Adult,27,63603,0,63603,1,Medium,Sales Associate,Single,Individual Health Insurance,Lite,13437,669409
1071,Adult,40,55459,0,180199,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
1072,Teen,16,0,110353,110353,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
1073,Adult,24,124740,0,166852,1,High,Executive,Married,Accidental Coverage,Premier,15431,470322
1074,Child,7,0,48211,48211,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
1075,Adult,63,42112,0,83080,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
1076,Adult,47,147069,0,294138,1,High,Manager,Married,Individual Health Insurance,Premier,18299,669409
1077,Adult,46,144726,0,144726,1,High,Entrepreneur,Single,Protability Insurance,Premier,18613,326569
